Key,Section,English,Chinese,Japanese,Korean,German,French,Spanish,Portuguese,Russian,Arabic
"docs.content.webReports.export","docs","Exporting Reports",,,,,,,,,
"docs.content.webReports.exportDesc","docs","Export reports in multiple formats for sharing with stakeholders:",,,,,,,,,
"docs.content.webReports.exportPdf","docs","PDF: Formatted reports with charts and tables",,,,,,,,,
"docs.content.webReports.exportExcel","docs","Excel: Raw data for further analysis",,,,,,,,,
"docs.content.webReports.exportCsv","docs","CSV: Simple data export for integration",,,,,,,,,
"docs.content.revitAssistant.overviewDesc","docs","The AI Assistant lets you control Revit using natural language. Describe what you want to do in plain English, and the AI will execute the appropriate commands or scripts.",,,,,,,,,
"docs.content.revitAssistant.naturalLanguage","docs","Natural Language Commands",,,,,,,,,
"docs.content.revitAssistant.naturalLanguageDesc","docs","Type or speak commands in conversational language. The AI understands context and can handle complex requests.",,,,,,,,,
"docs.content.revitAssistant.exampleCommands","docs","Example Commands",,,,,,,,,
"docs.content.revitAssistant.example1","docs","Select all walls on Level 1",,,,,,,,,
"docs.content.revitAssistant.example2","docs","Change the height of selected doors to 2100mm",,,,,,,,,
"docs.content.revitAssistant.example3","docs","Create a schedule of all mechanical equipment",,,,,,,,,
"docs.content.revitAssistant.example4","docs","Find all elements with missing fire rating parameter",,,,,,,,,
"docs.content.revitAssistant.voiceControl","docs","Voice Control",,,,,,,,,
"docs.content.revitAssistant.voiceControlDesc","docs","Click the microphone button to speak commands hands-free. Voice control is perfect for when you're working in the model and don't want to switch to the keyboard.",,,,,,,,,
"docs.content.revitAssistant.codeExecution","docs","Code Execution",,,,,,,,,
"docs.content.revitAssistant.codeExecutionDesc","docs","The AI can write and execute Python or C# scripts to accomplish complex tasks. Review generated code before execution for safety.",,,,,,,,,
"docs.content.revitAssistant.toolMatching","docs","Smart Tool Matching",,,,,,,,,
"docs.content.revitAssistant.toolMatchingDesc","docs","The AI automatically matches your request to available tools in your library. If a suitable tool exists, it will suggest using it instead of writing new code.",,,,,,,,,
"docs.content.revitTasks.overviewDesc","docs","Manage tasks directly within Revit without switching to a browser. Tasks sync with the Web Platform so your team always has the latest information.",,,,,,,,,
"docs.content.revitTasks.elementTracking","docs","Element Tracking",,,,,,,,,
"docs.content.revitTasks.elementTrackingDesc","docs","Link tasks to specific Revit elements for easy navigation:",,,,,,,,,
"docs.content.revitTasks.trackStep1","docs","Select elements in the Revit view",,,,,,,,,
"docs.content.revitTasks.trackStep2","docs","Click 'Link to Task' in the task panel",,,,,,,,,
"docs.content.revitTasks.trackStep3","docs","Click the element link to zoom to that element anytime",,,,,,,,,
"docs.content.revitTasks.timeTracking","docs","Time Tracking",,,,,,,,,
"docs.content.revitTasks.timeTrackingDesc","docs","Track time spent on tasks with the built-in timer. Start the timer when you begin work, and it logs time automatically. You can also add manual time entries for work done offline.",,,,,,,,,
"docs.content.revitTasks.cloudSync","docs","Cloud Sync",,,,,,,,,
"docs.content.revitTasks.cloudSyncDesc","docs","All changes sync automatically with the cloud. Team members on the Web Platform see your updates in real-time, and you see theirs.",,,,,,,,,
"docs.content.revitTasks.myTasks","docs","My Tasks View",,,,,,,,,
"docs.content.revitTasks.myTasksDesc","docs","The My Tasks view shows only tasks assigned to you. Filter by status, priority, or due date. Click any task to see details and linked elements.",,,,,,,,,
"docs.content.revitTools.overviewDesc","docs","The Tool Library manages Python scripts, C# scripts, and compiled DLL plugins. Run automation tools from a single interface and share tools with your team.",,,,,,,,,
"docs.content.revitTools.dllPlugins","docs","DLL Plugins",,,,,,,,,
"docs.content.revitTools.dllPluginsDesc","docs","Load compiled Revit plugins (.dll files) into the tool library. A single DLL can contain multiple commands, each appearing as a separate tool. Tools are loaded at Revit startup.",,,,,,,,,
"docs.content.revitTools.pythonScripts","docs","Python Scripts",,,,,,,,,
"docs.content.revitTools.pythonScriptsDesc","docs","Execute Python scripts using the IronPython engine. Scripts have full access to the Revit API and can automate any task.",,,,,,,,,
"docs.content.revitTools.pythonExample","docs","Example Python Script",,,,,,,,,
"docs.content.revitTools.csharpScripts","docs","C# Scripts",,,,,,,,,
"docs.content.revitTools.csharpScriptsDesc","docs","Run C# code on-the-fly without compilation. The C# scripting engine compiles and executes your code instantly, making it easy to prototype and test ideas.",,,,,,,,,
"docs.content.revitTools.organizing","docs","Organizing Tools",,,,,,,,,
"docs.content.revitTools.organizingDesc","docs","Organize tools into categories for easy discovery. Add descriptions and keywords so the AI Assistant can find and suggest relevant tools.",,,,,,,,,
"docs.content.revitProjects.overviewDesc","docs","Project Management in the Revit add-in provides team management, budget tracking, and milestone planning. Keep all project information organized in one place.",,,,,,,,,
"docs.content.revitProjects.creating","docs","Creating Projects",,,,,,,,,
"docs.content.revitProjects.creatingDesc","docs","Create a new project with basic information like name, client, and project number. Link to an ACC project to enable cloud sync and coordination features.",,,,,,,,,
"docs.content.revitProjects.team","docs","Team Management",,,,,,,,,
"docs.content.revitProjects.teamDesc","docs","Add team members with roles, disciplines, and hourly rates. Track hours logged by each team member and calculate costs automatically.",,,,,,,,,
"docs.content.revitProjects.budget","docs","Budget Tracking",,,,,,,,,
"docs.content.revitProjects.budgetDesc","docs","Set project budget and track spending in real-time. Allocate budget to milestones and monitor utilization. Get alerts when approaching budget limits.",,,,,,,,,
"docs.content.revitProjects.milestones","docs","Milestone Planning",,,,,,,,,
"docs.content.revitProjects.milestonesDesc","docs","Define project milestones with due dates, budgets, and deliverables. Track milestone status and see upcoming deadlines in the dashboard.",,,,,,,,,
"docs.content.revitProjects.dashboardDesc","docs","The dashboard provides an at-a-glance view of project health including task progress, budget status, team utilization, and upcoming milestones.",,,,,,,,,
"docs.content.revitAcc.overviewDesc","docs","The ACC Integration connects InvoratecAI to your Autodesk Construction Cloud projects. Sync models, import clashes, and manage project files from within Revit.",,,,,,,,,
"docs.content.revitAcc.connecting","docs","Connecting to ACC",,,,,,,,,
"docs.content.revitAcc.connectingDesc","docs","Connect your Autodesk account using secure OAuth authentication:",,,,,,,,,
"docs.content.revitAcc.connectStep1","docs","Click 'Connect to ACC' in the ACC Hub panel",,,,,,,,,
"docs.content.revitAcc.connectStep2","docs","Sign in with your Autodesk ID in the browser",,,,,,,,,
"docs.content.revitAcc.connectStep3","docs","Authorize InvoratecAI to access your ACC projects",,,,,,,,,
"docs.content.revitAcc.connectStep4","docs","Select the ACC project to link to your InvoratecAI project",,,,,,,,,
"docs.content.revitAcc.hubBrowser","docs","Hub Browser",,,,,,,,,
"docs.content.revitAcc.hubBrowserDesc","docs","Browse your ACC hubs and projects in a familiar tree structure. Navigate folders and view files without leaving Revit.",,,,,,,,,
"docs.content.revitAcc.modelSync","docs","Model Sync",,,,,,,,,
"docs.content.revitAcc.modelSyncDesc","docs","Publish Revit models to your ACC project with one click. Models are translated for viewing in the Web Platform's 3D viewer.",,,,,,,,,
"docs.content.revitAcc.clashImport","docs","Clash Import",,,,,,,,,
"docs.content.revitAcc.clashImportDesc","docs","Import coordination clashes from ACC Model Coordination. Clashes include 3D viewpoints and can be assigned to team members for resolution.",,,,,,,,,
"docs.help.title","docs","Need Help?",,,,,,,,,
"docs.help.description","docs","Can't find what you're looking for? Our support team is here to assist.",,,,,,,,,
"serviceBIM.cta.subtitle","serviceBIM","Let our experts help you maximize the value of your BIM investment",,,,,,,,,
"serviceBIM.cta.demo","serviceBIM","Schedule Consultation",,,,,,,,,
"serviceBIM.cta.contact","serviceBIM","Email Us",,,,,,,,,
"serviceAI.useCases.subtitle","serviceAI","See how organizations are leveraging custom AI to transform their operations",,,,,,,,,
"serviceAI.useCases.items.design.title","serviceAI","AI Design Assistant",,,,,,,,,
"serviceAI.useCases.items.design.description","serviceAI","Get intelligent suggestions based on your design standards",,,,,,,,,
"serviceAI.useCases.items.review.title","serviceAI","Automated Review",,,,,,,,,
"serviceAI.useCases.items.review.description","serviceAI","AI-powered quality checks against your criteria",,,,,,,,,
"serviceAI.useCases.items.automation.title","serviceAI","Task Automation",,,,,,,,,
"serviceAI.useCases.items.automation.description","serviceAI","Automate repetitive workflows with custom AI agents",,,,,,,,,
"serviceAI.useCases.items.assistant.title","serviceAI","Custom Assistant",,,,,,,,,
"serviceAI.useCases.items.assistant.description","serviceAI","Company-specific AI assistant trained on your data",,,,,,,,,
"serviceAI.webapp.title","serviceAI","Powered by Our Web Platform",,,,,,,,,
"serviceAI.webapp.subtitle","serviceAI","Access your custom AI features through our powerful web application with full project management capabilities",,,,,,,,,
"serviceAI.webapp.features.assistant.title","serviceAI","AI Chat Assistant",,,,,,,,,
"serviceAI.webapp.features.assistant.description","serviceAI","Natural language interface to query project data and get intelligent answers",,,,,,,,,
"serviceAI.webapp.features.reports.title","serviceAI","AI-Generated Reports",,,,,,,,,
"serviceAI.webapp.features.reports.description","serviceAI","Automated report generation with insights and recommendations",,,,,,,,,
"serviceAI.webapp.features.workflow.title","serviceAI","Smart Workflows",,,,,,,,,
"serviceAI.webapp.features.workflow.description","serviceAI","AI-optimized task assignment and project scheduling",,,,,,,,,
"serviceAI.webapp.cta","serviceAI","Explore Web Platform",,,,,,,,,
"serviceAI.cta.title","serviceAI","Ready to Empower Your Team with AI?",,,,,,,,,
"serviceAI.cta.subtitle","serviceAI","Let us help you build custom AI solutions that transform your business",,,,,,,,,
"serviceAI.cta.demo","serviceAI","Schedule Demo",,,,,,,,,
"serviceAI.cta.contact","serviceAI","Contact Sales",,,,,,,,,
"serviceSupport.contact.subtitle","serviceSupport","Multiple ways to reach our support team",,,,,,,,,
"serviceSupport.docs.items.videos.title","serviceSupport","Video Tutorials",,,,,,,,,
"serviceSupport.docs.items.videos.description","serviceSupport","Watch and learn at your own pace",,,,,,,,,
"serviceSupport.docs.items.faq.title","serviceSupport","FAQ & Troubleshooting",,,,,,,,,
"serviceSupport.docs.items.faq.description","serviceSupport","Common questions and solutions",,,,,,,,,
"serviceSupport.docs.cta","serviceSupport","Browse Documentation",,,,,,,,,
"serviceSupport.cta.title","serviceSupport","Need Help Getting Started?",,,,,,,,,
"serviceSupport.cta.subtitle","serviceSupport","Our team is ready to help you succeed with InvoratecAI",,,,,,,,,
"about.products.title","about","Our Twin Platform",,,,,,,,,
"about.products.subtitle","about","From desktop to cloud - a complete AI-powered ecosystem for modern construction projects",,,,,,,,,
"about.products.bim.subtitle","about","Revit Add-in",,,,,,,,,
"about.products.bim.description","about","Supercharge your Revit workflow with AI-powered assistance. Control Revit with natural language, automate repetitive tasks, and sync your work seamlessly with the cloud.",,,,,,,,,
"about.products.bim.features.voice","about","Voice Control",,,,,,,,,
"about.products.bim.features.automation","about","Automation Tools",,,,,,,,,
"about.products.bim.features.sync","about","Cloud Sync",,,,,,,,,
"about.products.web.description","about","Browser-based collaboration for your entire project team. View 3D models, manage tasks, coordinate clashes, and track progress - all without installing any software.",,,,,,,,,
"about.products.web.features.viewer","about","3D Viewer",,,,,,,,,
"about.products.web.features.tasks","about","Task Management",,,,,,,,,
"about.products.web.features.coordination","about","Clash Coordination",,,,,,,,,
"about.products.web.features.reports","about","Reports & Analytics",,,,,,,,,
"about.products.cta","about","Explore Our Products",,,,,,,,,
"about.contact.email.label","about","Email",,,,,,,,,
"docs.docsContent.getting-started","docs","<section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Quick Start Guide</h2><p class='mb-4'>Welcome to InvoratecAI documentation. This guide will help you get started with our platform.</p></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Prerequisites</h2><ul class='list-disc pl-6 space-y-2'><li>Autodesk Revit 2019 or later</li><li>Windows 10/11</li><li>InvoratecAI Account</li></ul></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Installation Steps</h2><ol class='list-decimal pl-6 space-y-2'><li>Download the InvoratecAI Add-in from your account dashboard</li><li>Run the installer and follow the prompts</li><li>Restart Revit to activate the add-in</li><li>Sign in with your InvoratecAI credentials</li></ol></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Platform Overview</h2><div class='grid md:grid-cols-2 gap-6 mt-4'><div class='bg-gray-50 rounded-lg p-4'><h3 class='font-semibold text-gray-900 mb-2'>BIM AI (Revit Add-in)</h3><p class='text-gray-600 text-sm'>Desktop application that integrates directly with Autodesk Revit, providing AI assistance, task management, and cloud synchronization.</p></div><div class='bg-gray-50 rounded-lg p-4'><h3 class='font-semibold text-gray-900 mb-2'>Web AI (Cloud Platform)</h3><p class='text-gray-600 text-sm'>Browser-based platform for project management, 3D model viewing, team collaboration, and reporting.</p></div></div></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Key Features</h2><div class='space-y-4'><div class='flex items-start gap-3'><span class='text-primary-500 text-xl'>🤖</span><div><h4 class='font-medium text-gray-900'>AI-Powered Assistant</h4><p class='text-gray-600 text-sm'>Use natural language to query your models and automate tasks</p></div></div><div class='flex items-start gap-3'><span class='text-primary-500 text-xl'>📋</span><div><h4 class='font-medium text-gray-900'>Task Management</h4><p class='text-gray-600 text-sm'>Create, assign, and track tasks with 45+ property types</p></div></div><div class='flex items-start gap-3'><span class='text-primary-500 text-xl'>🏗️</span><div><h4 class='font-medium text-gray-900'>3D Model Viewer</h4><p class='text-gray-600 text-sm'>View and analyze BIM models in your browser</p></div></div><div class='flex items-start gap-3'><span class='text-primary-500 text-xl'>☁️</span><div><h4 class='font-medium text-gray-900'>ACC Integration</h4><p class='text-gray-600 text-sm'>Seamless sync with Autodesk Construction Cloud</p></div></div></div></section>",,,,,,,,,
"docs.docsContent.configuration","docs","<section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Configuration Guide</h2><p class='mb-4'>Learn how to configure InvoratecAI to match your workflow.</p></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Account Settings</h2><p class='mb-4'>Manage your profile, subscription, and notification preferences in the account settings panel.</p><ul class='list-disc pl-6 space-y-2'><li><strong>Profile:</strong> Update your name, email, and profile picture</li><li><strong>Password:</strong> Change your password or enable two-factor authentication</li><li><strong>Notifications:</strong> Configure email and in-app notification preferences</li><li><strong>Language:</strong> Choose your preferred interface language</li><li><strong>Timezone:</strong> Set your timezone for accurate scheduling</li></ul></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Project Settings</h2><p class='mb-4'>Configure project-specific settings including team members, milestones, and budget tracking.</p><div class='space-y-4'><div class='bg-gray-50 rounded-lg p-4'><h4 class='font-medium text-gray-900'>General Settings</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600 mt-2'><li>Project name and description</li><li>Project number and client information</li><li>Start and end dates</li><li>Project currency and units</li></ul></div><div class='bg-gray-50 rounded-lg p-4'><h4 class='font-medium text-gray-900'>Team Management</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600 mt-2'><li>Invite team members by email</li><li>Assign roles (Admin, Editor, Viewer)</li><li>Set discipline and department</li><li>Configure hourly rates for budget tracking</li></ul></div><div class='bg-gray-50 rounded-lg p-4'><h4 class='font-medium text-gray-900'>Milestone Configuration</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600 mt-2'><li>Create project milestones</li><li>Set target dates and budgets</li><li>Link deliverables to milestones</li><li>Track completion status</li></ul></div></div></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>ACC Integration</h2><p class='mb-4'>Connect your Autodesk Construction Cloud account to sync projects, models, and coordination data.</p><ol class='list-decimal pl-6 space-y-3'><li><strong>Navigate to Integrations</strong><p class='text-gray-600 text-sm mt-1'>Go to Settings > Integrations in your dashboard</p></li><li><strong>Click Connect ACC</strong><p class='text-gray-600 text-sm mt-1'>You'll be redirected to Autodesk's login page</p></li><li><strong>Authorize Access</strong><p class='text-gray-600 text-sm mt-1'>Grant InvoratecAI permission to access your ACC data</p></li><li><strong>Select Projects</strong><p class='text-gray-600 text-sm mt-1'>Choose which ACC projects to sync with InvoratecAI</p></li></ol><div class='bg-green-50 border border-green-200 rounded-lg p-4 mt-4'><p class='text-green-800'><strong>Data Privacy:</strong> We only access the projects you explicitly select. Your credentials are never stored - we use secure OAuth 2.0 tokens.</p></div></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>BIM AI Settings</h2><p class='mb-4'>Configure the Revit add-in behavior and preferences.</p><ul class='list-disc pl-6 space-y-2'><li><strong>Auto-sync:</strong> Enable automatic synchronization with the cloud</li><li><strong>AI Model:</strong> Choose between standard and advanced AI processing</li><li><strong>Voice Commands:</strong> Enable or disable voice control</li><li><strong>Script Execution:</strong> Configure Python and C# script permissions</li><li><strong>Tool Library Path:</strong> Set custom locations for tool storage</li></ul></section>",,,,,,,,,
"docs.docsContent.web-tasks","docs","<section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Overview</h2><p class='mb-4'>The Web Platform's task management system is built on a flexible database architecture supporting 45+ property types. Create unlimited custom pages with any combination of properties to match your project needs.</p></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Creating Task Pages</h2><p class='mb-4'>Task pages are containers for organizing your work. Each page can have its own set of custom properties.</p><ol class='list-decimal pl-6 space-y-2'><li>Click the <strong>+</strong> button in the sidebar to create a new page</li><li>Name your page and choose a template or start blank</li><li>Add properties by clicking the <strong>+</strong> column header</li></ol><div class='bg-gray-50 rounded-lg p-4 mt-4'><h4 class='font-medium text-gray-900 mb-2'>Available Templates</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600'><li><strong>RFI Tracker:</strong> Request for Information management</li><li><strong>Submittal Log:</strong> Track submittals and approvals</li><li><strong>Punch List:</strong> Deficiency tracking for closeout</li><li><strong>Issue Log:</strong> General issue and conflict management</li><li><strong>Change Orders:</strong> Track contract modifications</li></ul></div></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Property Types</h2><p class='mb-4'>InvoratecAI supports a wide variety of property types to capture any kind of project data:</p><div class='grid md:grid-cols-2 gap-4 mt-4'><div class='bg-gray-50 rounded-lg p-4'><h4 class='font-medium text-gray-900'>Text Properties</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600 mt-2'><li>Single-line text</li><li>Multi-line text (rich text)</li><li>URL links</li><li>Email addresses</li><li>Phone numbers</li></ul></div><div class='bg-gray-50 rounded-lg p-4'><h4 class='font-medium text-gray-900'>Number Properties</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600 mt-2'><li>Integer numbers</li><li>Decimal numbers</li><li>Currency values</li><li>Percentage</li><li>Progress bar</li></ul></div><div class='bg-gray-50 rounded-lg p-4'><h4 class='font-medium text-gray-900'>Date & Time</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600 mt-2'><li>Date picker</li><li>Date range</li><li>Time picker</li><li>Date/time combined</li><li>Created/Updated timestamps</li></ul></div><div class='bg-gray-50 rounded-lg p-4'><h4 class='font-medium text-gray-900'>Selection Properties</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600 mt-2'><li>Single select (dropdown)</li><li>Multi-select (tags)</li><li>Status with colors</li><li>Priority levels</li><li>Checkbox</li></ul></div><div class='bg-gray-50 rounded-lg p-4'><h4 class='font-medium text-gray-900'>People & Relations</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600 mt-2'><li>Person (assign team members)</li><li>Multi-person</li><li>Relation (link to other tasks)</li><li>Created by / Updated by</li></ul></div><div class='bg-gray-50 rounded-lg p-4'><h4 class='font-medium text-gray-900'>Media & Files</h4><ul class='list-disc pl-6 space-y-1 text-sm text-gray-600 mt-2'><li>File attachments</li><li>Image gallery</li><li>Document links</li><li>Model element references</li></ul></div></div></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Smart Filtering</h2><p class='mb-4'>Filter your tasks by any property using the filter bar. Combine multiple filters with AND/OR logic. Save filter views for quick access to commonly used task lists.</p><div class='bg-blue-50 border border-blue-200 rounded-lg p-4'><p class='text-blue-800'><strong>Pro Tip:</strong> Create saved views like ""My Open Tasks"", ""Overdue Items"", or ""High Priority"" for quick access.</p></div></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>View Options</h2><p class='mb-4'>Switch between different views to visualize your data:</p><ul class='list-disc pl-6 space-y-2'><li><strong>Table View:</strong> Spreadsheet-like grid for detailed editing</li><li><strong>Kanban Board:</strong> Drag-and-drop cards by status</li><li><strong>Calendar View:</strong> See tasks by date</li><li><strong>Timeline View:</strong> Gantt chart visualization</li><li><strong>Gallery View:</strong> Card-based view with images</li></ul></section><section class='mb-8'><h2 class='text-2xl font-semibold text-gray-900 mb-4'>Excel Import/Export</h2><p class='mb-4'>Bulk import tasks from Excel spreadsheets or export your data for reporting:</p><ol class='list-decimal pl-6 space-y-2'><li>Click the <strong>Import</strong> button and select your Excel file</li><li>Map columns to properties in the import dialog</li><li>Review and confirm the import</li></ol></section>",,,,,,,,,
